run_id,time_min,isotopologue,peak_area
R11,3,A1,19858.019
R11,3,B0,7092.716
R11,3,B1,2371.947
R11,3,C0,6856.860
R11,3,C1,2251.117
R11,3,D0,535.543
R11,3,D1,231.563
R11,7,A0,43732.349
R11,7,A1,14571.319
R11,7,B0,13498.454
R11,7,B1,4854.004
R11,7,C0,13117.131
R11,7,C1,4352.646
R11,7,D0,2322.407
R11,7,D1,816.677
R11,12,A0,29695.352
R11,12,A1,9918.267
R11,12,B0,18013.973
R11,12,B1,6906.953
R11,12,C0,17598.756
R11,12,C1,5902.407
R11,12,D0,5920.545
R11,12,D1,2115.584
R11,20,A0,16073.214
R11,20,A1,5360.176
R11,20,B0,20250.683
R11,20,B1,8425.053
R11,20,C0,20099.381
R11,20,C1,6707.902
R11,20,D0,12886.089
R11,20,D1,4793.792
R11,32,A0,6451.330
R11,32,A1,2033.839
R11,32,B0,18633.772
R11,32,B1,8756.513
R11,32,C0,18632.500
R11,32,C1,6146.813
R11,32,D0,23521.657
R11,32,D1,8912.507
R11,48,A0,1864.430
R11,48,A1,678.382
R11,48,B0,13952.964
R11,48,B1,7664.282
R11,48,C0,14061.383
R11,48,C1,4695.689
R11,48,D0,35147.836
R11,48,D1,14022.515
R11,70,A0,381.721
R11,70,A1,140.856
R11,70,B0,8536.324
R11,70,B1,5494.055
R11,70,C0,8560.680
R11,70,C1,2856.894
R11,70,D0,46253.623
R11,70,D1,19239.814
R05,0,A0,81000.000
R05,0,A1,27000.000
R05,0,B0,0.000
R05,0,B1,0.000
R05,0,C0,0.000
R05,0,C1,0.000
R05,0,D0,0.000
R05,0,D1,0.000
R05,3,A0,67951.822
R05,3,A1,22673.732
R05,3,B0,5123.256
R05,3,B1,1688.808
R05,3,C0,6027.369
R05,3,C1,2034.161
R05,3,D0,231.443
R05,3,D1,183.081
R05,7,A0,53830.082
R05,7,A1,17860.611
R05,7,B0,10021.570
R05,7,B1,3673.482
R05,7,C0,12012.395
R05,7,C1,3960.843
R05,7,D0,1383.609
R05,7,D1,428.069
R05,12,A0,40163.777
R05,12,A1,13336.100
R05,12,B0,14152.158
R05,12,B1,5582.887
R05,12,C0,17026.639
R05,12,C1,5722.959
R05,12,D0,3424.841
R05,12,D1,1220.747
R05,20,A0,25156.004
R05,20,A1,8431.132
R05,20,B0,17361.136
R05,20,B1,7523.819
R05,20,C0,21125.417
R05,20,C1,7086.137
R05,20,D0,7930.428
R05,20,D1,2854.443
R05,32,A0,12436.724
R05,32,A1,4104.247
R05,32,B0,17752.877
R05,32,B1,8965.862
R05,32,C0,21951.374
R05,32,C1,7408.347
R05,32,D0,15350.976
R05,32,D1,5911.562
R05,48,A0,4887.030
R05,48,A1,1646.720
R05,48,B0,15122.767
R05,48,B1,9129.310
R05,48,C0,19068.707
R05,48,C1,6391.488
R05,48,D0,24650.269
R05,48,D1,10153.721
R05,70,A0,1332.799
R05,70,A1,465.953
R05,70,B0,10721.094
R05,70,B1,7977.183
R05,70,C0,13744.317
R05,70,C1,4586.652
R05,70,D0,34713.192
R05,70,D1,15221.834
R07,0,A0,70500.000
R07,0,A1,23500.000
R07,0,B0,0.000
R07,0,B1,0.000
R07,0,C0,0.000
R07,0,C1,0.000
R07,0,D0,0.000
R07,0,D1,0.000
R07,3,A0,53258.249
R07,3,A1,17833.089
R07,3,B0,8638.349
R07,3,B1,3139.776
R07,3,C0,8050.731
R07,3,C1,2682.101
R07,3,D0,719.098
R07,3,D1,232.973
R07,7,A0,36613.832
R07,7,A1,12158.416
R07,7,B0,15512.646
R07,7,B1,6363.603
R07,7,C0,14617.094
R07,7,C1,4953.391
R07,7,D0,3347.726
R07,7,D1,1248.401
R07,12,A0,22971.168
R07,12,A1,7669.457
R07,12,B0,19261.584
R07,12,B1,9087.540
R07,12,C0,18649.511
R07,12,C1,6178.543
R07,12,D0,8177.323
R07,12,D1,3096.277
R07,20,A0,10816.069
R07,20,A1,3568.645
R07,20,B0,19396.886
R07,20,B1,11415.789
R07,20,C0,19642.916
R07,20,C1,6433.181
R07,20,D0,16969.940
R07,20,D1,6976.315
R07,32,A0,3570.897
R07,32,A1,1185.747
R07,32,B0,15200.128
R07,32,B1,11987.369
R07,32,C0,16388.484
R07,32,C1,5495.579
R07,32,D0,28865.555
R07,32,D1,13069.311
R07,48,A0,791.474
R07,48,A1,266.541
R07,48,B0,9402.811
R07,48,B1,10324.483
R07,48,C0,10963.840
R07,48,C1,3662.119
R07,48,D0,40352.262
R07,48,D1,20308.348
R07,70,A0,91.482
R07,70,A1,4.230
R07,70,B0,4487.929
R07,70,B1,7192.060
R07,70,C0,5787.465
R07,70,C1,1920.461
R07,70,D0,49313.073
R07,70,D1,27499.724
R06,0,A0,75000.000
R06,0,A1,25000.000
R06,0,B0,0.000
R06,0,B1,0.000
R06,0,C0,0.000
R06,0,C1,0.000
R06,0,D0,0.000
R06,0,D1,0.000
R06,3,A0,62533.018
R06,3,A1,20689.170
R06,3,B0,5478.669
R06,3,B1,1786.754
R06,3,C0,6189.945
R06,3,C1,2027.120
R06,3,D0,373.516
R06,3,D1,169.000
R06,7,A0,48933.719
R06,7,A1,16380.009
R06,7,B0,11152.569
R06,7,B1,3618.285
R06,7,C0,12242.473
R06,7,C1,4036.349
R06,7,D0,1450.484
R06,7,D1,589.191
R06,12,A0,36018.967
R06,12,A1,12036.879
R06,12,B0,16035.427
R06,12,B1,5149.061
R06,12,C0,17259.836
R06,12,C1,5708.621
R06,12,D0,3891.840
R06,12,D1,1289.780
R06,20,A0,22132.792
R06,20,A1,7375.336
R06,20,B0,20303.603
R06,20,B1,6076.844
R06,20,C0,21150.914
R06,20,C1,7031.031
R06,20,D0,9010.760
R06,20,D1,2922.702
R06,32,A0,10621.247
R06,32,A1,3525.083
R06,32,B0,21940.702
R06,32,B1,6213.786
R06,32,C0,21517.353
R06,32,C1,7247.160
R06,32,D0,17838.285
R06,32,D1,5601.260
R06,48,A0,4056.756
R06,48,A1,1341.054
R06,48,B0,20040.481
R06,48,B1,5220.988
R06,48,C0,18225.451
R06,48,C1,6040.831
R06,48,D0,28896.630
R06,48,D1,9032.703
R06,70,A0,1125.572
R06,70,A1,300.352
R06,70,B0,15745.188
R06,70,B1,3658.975
R06,70,C0,12734.977
R06,70,C1,4145.360
R06,70,D0,41455.517
R06,70,D1,12539.586
R08,0,A0,81000.000
R08,0,A1,27000.000
R08,0,B0,0.000
R08,0,B1,0.000
R08,0,C0,0.000
R08,0,C1,0.000
R08,0,D0,0.000
R08,0,D1,0.000
R08,3,A0,58616.984
R08,3,A1,19542.612
R08,3,B0,8303.892
R08,3,B1,2687.813
R08,3,C0,10522.019
R08,3,C1,3521.276
R08,3,D0,859.777
R08,3,D1,271.044
R08,7,A0,38269.990
R08,7,A1,12811.654
R08,7,B0,14940.111
R08,7,B1,5003.786
R08,7,C0,18445.184
R08,7,C1,6106.704
R08,7,D0,3929.593
R08,7,D1,1281.343
R08,12,A0,22456.179
R08,12,A1,7550.075
R08,12,B0,18800.103
R08,12,B1,6418.143
R08,12,C0,22581.101
R08,12,C1,7577.773
R08,12,D0,9154.901
R08,12,D1,3083.955
R08,20,A0,9526.605
R08,20,A1,3139.533
R08,20,B0,19524.005
R08,20,B1,6632.303
R08,20,C0,22318.705
R08,20,C1,7389.020
R08,20,D0,18581.326
R08,20,D1,6306.117
R08,32,A0,2705.447
R08,32,A1,936.172
R08,32,B0,16112.889
R08,32,B1,5690.428
R08,32,C0,17104.672
R08,32,C1,5737.517
R08,32,D0,31428.448
R08,32,D1,10612.723
R08,48,A0,439.437
R08,48,A1,133.342
R08,48,B0,11080.317
R08,48,B1,3827.153
R08,48,C0,10337.703
R08,48,C1,3432.552
R08,48,D0,43643.093
R08,48,D1,14832.526
R08,70,A0,31.377
R08,70,A1,49.975
R08,70,B0,6165.298
R08,70,B1,2262.054
R08,70,C0,4830.411
R08,70,C1,1621.134
R08,70,D0,53515.056
R08,70,D1,18178.967
R02,0,A0,70500.000
R02,0,A1,23500.000
R02,0,B0,0.000
R02,0,B1,0.000
R02,0,C0,0.000
R02,0,C1,0.000
R02,0,D0,0.000
R02,0,D1,0.000
R02,3,A0,53356.572
R02,3,A1,17790.736
R02,3,B0,8273.325
R02,3,B1,2876.717
R02,3,C0,8668.848
R02,3,C1,2891.837
R02,3,D0,750.988
R02,3,D1,149.257
R02,7,A0,36815.076
R02,7,A1,12180.867
R02,7,B0,15199.962
R02,7,B1,5444.724
R02,7,C0,15925.172
R02,7,C1,5296.078
R02,7,D0,3225.771
R02,7,D1,1085.416
R02,12,A0,23222.737
R02,12,A1,7693.795
R02,12,B0,19714.219
R02,12,B1,7248.244
R02,12,C0,20163.784
R02,12,C1,6732.485
R02,12,D0,7992.217
R02,12,D1,2770.955
R02,20,A0,11038.919
R02,20,A1,3677.589
R02,20,B0,21520.750
R02,20,B1,8371.463
R02,20,C0,21231.931
R02,20,C1,7103.725
R02,20,D0,16927.008
R02,20,D1,5965.464
R02,32,A0,3648.374
R02,32,A1,1302.519
R02,32,B0,18881.768
R02,32,B1,8195.239
R02,32,C0,17724.635
R02,32,C1,5913.319
R02,32,D0,29619.380
R02,32,D1,10661.093
R02,48,A0,756.071
R02,48,A1,298.425
R02,48,B0,13869.269
R02,48,B1,6731.356
R02,48,C0,11840.622
R02,48,C1,3976.773
R02,48,D0,42603.984
R02,48,D1,15904.772
R02,70,A0,85.426
R02,70,A1,9.088
R02,70,B0,8382.075
R02,70,B1,4717.841
R02,70,C0,6158.767
R02,70,C1,2061.391
R02,70,D0,53953.389
R02,70,D1,20855.353
R10,0,A0,75000.000
R10,0,A1,25000.000
R10,0,B0,0.000
R10,0,B1,0.000
R10,0,C0,0.000
R10,0,C1,0.000
R10,0,D0,0.000
R10,0,D1,0.000
R10,3,A0,40308.343
R10,3,A1,13399.013
R10,3,B0,13486.184
R10,3,B1,4898.579
R10,3,C0,16470.383
R10,3,C1,5534.909
R10,3,D0,2775.120
R10,3,D1,952.026
R10,7,A0,17624.544
R10,7,A1,5881.460
R10,7,B0,19010.075
R10,7,B1,8042.228
R10,7,C0,22630.893
R10,7,C1,7529.566
R10,7,D0,11203.776
R10,7,D1,3950.941
R10,12,A0,6222.242
R10,12,A1,2070.524
R10,12,B0,17946.651
R10,12,B1,9021.399
R10,12,C0,20845.043
R10,12,C1,6930.889
R10,12,D0,22539.272
R10,12,D1,8515.889
R10,20,A0,1069.763
R10,20,A1,397.659
R10,20,B0,12470.599
R10,20,B1,7976.274
R10,20,C0,13706.461
R10,20,C1,4565.318
R10,20,D0,36942.485
R10,20,D1,14937.429
R10,32,A0,90.668
R10,32,A1,88.499
R10,32,B0,6347.627
R10,32,B1,5207.742
R10,32,C0,6314.764
R10,32,C1,2012.294
R10,32,D0,49272.613
R10,32,D1,21560.371
R10,48,A0,20.693
R10,48,A1,0.000
R10,48,B0,2574.294
R10,48,B1,2776.872
R10,48,C0,1975.869
R10,48,C1,642.753
R10,48,D0,56408.086
R10,48,D1,26355.066
R10,70,A0,14.533
R10,70,A1,30.043
R10,70,B0,795.300
R10,70,B1,971.723
R10,70,C0,346.408
R10,70,C1,90.325
R10,70,D0,59573.863
R10,70,D1,28844.867
R04,0,A0,81000.000
R04,0,A1,27000.000
R04,0,B0,0.000
R04,0,B1,0.000
R04,0,C0,0.000
R04,0,C1,0.000
R04,0,D0,0.000
R04,0,D1,0.000
R04,3,A0,61061.124
R04,3,A1,20340.837
R04,3,B0,6960.096
R04,3,B1,2426.953
R04,3,C0,10276.788
R04,3,C1,3352.690
R04,3,D0,597.810
R04,3,D1,185.487
R04,7,A0,41897.998
R04,7,A1,13940.274
R04,7,B0,12708.575
R04,7,B1,4846.891
R04,7,C0,18556.816
R04,7,C1,6141.800
R04,7,D0,2926.964
R04,7,D1,919.557
R04,12,A0,26233.060
R04,12,A1,8729.731
R04,12,B0,16051.616
R04,12,B1,6835.120
R04,12,C0,23702.638
R04,12,C1,7901.076
R04,12,D0,7154.868
R04,12,D1,2520.959
R04,20,A0,12340.862
R04,20,A1,4102.461
R04,20,B0,16989.710
R04,20,B1,8479.933
R04,20,C0,24699.854
R04,20,C1,8211.373
R04,20,D0,14769.266
R04,20,D1,5528.049
R04,32,A0,3994.067
R04,32,A1,1310.265
R04,32,B0,14267.609
R04,32,B1,8980.583
R04,32,C0,20297.215
R04,32,C1,6800.434
R04,32,D0,25537.741
R04,32,D1,10197.156
R04,48,A0,856.278
R04,48,A1,309.436
R04,48,B0,9833.528
R04,48,B1,8104.345
R04,48,C0,13429.469
R04,48,C1,4366.714
R04,48,D0,36180.707
R04,48,D1,15654.903
R04,70,A0,78.654
R04,70,A1,29.549
R04,70,B0,5460.201
R04,70,B1,6093.945
R04,70,C0,6830.800
R04,70,C1,2272.217
R04,70,D0,44976.483
R04,70,D1,21216.735
R12,0,A0,70500.000
R12,0,A1,23500.000
R12,0,B0,0.000
R12,0,B1,0.000
R12,0,C0,0.000
R12,0,C1,0.000
R12,0,D0,0.000
R12,0,D1,0.000
R12,3,A0,43230.042
R12,3,A1,14448.293
R12,3,B0,11955.023
R12,3,B1,4514.480
R12,3,C0,13786.749
R12,3,C1,4592.090
R12,3,D0,1882.329
R12,3,D1,697.178
R12,7,A0,22637.029
R12,7,A1,7531.429
R12,7,B0,18217.188
R12,7,B1,8370.063
R12,7,C0,21187.027
R12,7,C1,6994.831
R12,7,D0,8065.460
R12,7,D1,2962.721
R12,12,A0,10030.212
R12,12,A1,3349.323
R12,12,B0,18646.521
R12,12,B1,10737.217
R12,12,C0,21927.056
R12,12,C1,7338.058
R12,12,D0,17481.268
R12,12,D1,6827.263
R12,20,A0,2803.414
R12,20,A1,909.405
R12,20,B0,14434.123
R12,20,B1,11563.172
R12,20,C0,17048.152
R12,20,C1,5712.091
R12,20,D0,30595.215
R12,20,D1,13137.419
R12,32,A0,479.146
R12,32,A1,168.603
R12,32,B0,7993.453
R12,32,B1,9848.514
R12,32,C0,9593.357
R12,32,C1,3176.467
R12,32,D0,43637.006
R12,32,D1,21151.184
R12,48,A0,79.938
R12,48,A1,23.473
R12,48,B0,3362.684
R12,48,B1,6623.484
R12,48,C0,4122.000
R12,48,C1,1368.197
R12,48,D0,52135.868
R12,48,D1,28415.909
R12,70,A0,11.320
R12,70,A1,54.974
R12,70,B0,1092.443
R12,70,B1,3327.332
R12,70,C0,1279.809
R12,70,C1,331.462
R12,70,D0,56498.743
R12,70,D1,33912.525
